Wavelength (nm),[θ]
80.0,-3.276522184764075e-191
81.0,-1.5654237530505557e-182
82.0,-2.955103482699862e-174
83.0,-2.3155396187819233e-166
84.0,-7.887612000622536e-159
85.0,-1.219785939461049e-151
86.0,-8.919548453890685e-145
87.0,-3.204256732594475e-138
88.0,-5.861976878704401e-132
89.0,-5.649018758147518e-126
90.0,-2.9602632909937735e-120
91.0,-8.69216159264811e-115
92.0,-1.471048041441828e-109
93.0,-1.4736315940603948e-104
94.0,-8.960280734665054e-100
95.0,-3.3862702633141094e-95
96.0,-8.134189761625807e-91
97.0,-1.2684998945374366e-86
98.0,-1.3102078656266271e-82
99.0,-9.134499058729291e-79
100.0,-4.376283094927821e-75
101.0,-1.4654500872604863e-71
102.0,-3.4854843275499014e-68
103.0,-5.978599794333452e-65
104.0,-7.5033631626049635e-62
105.0,-6.9853309866012765e-59
106.0,-4.88702396633391e-56
107.0,-2.601330683683314e-53
108.0,-1.0659558313417147e-50
109.0,-3.400333911730691e-48
110.0,-8.533956969598889e-46
111.0,-1.7021930649161961e-43
112.0,-2.7243782255770605e-41
113.0,-3.530990199112082e-39
114.0,-3.738325472662484e-37
115.0,-3.259951708576581e-35
116.0,-2.3601053436884414e-33
117.0,-1.4292570121493885e-31
118.0,-7.292374460012827e-30
119.0,-3.1563465743594117e-28
120.0,-1.1665380092075068e-26
121.0,-3.704452834825788e-25
122.0,-1.0168348927297909e-23
123.0,-2.426343374948412e-22
124.0,-5.060503374025962e-21
125.0,-9.273303701172138e-20
126.0,-1.5004963706091889e-18
127.0,-2.154076701932545e-17
128.0,-2.7560650967248896e-16
129.0,-3.156537085325167e-15
130.0,-3.249640135093978e-14
131.0,-3.019222541559915e-13
132.0,-2.5412615654804478e-12
133.0,-1.944852820196992e-11
134.0,-1.3580916829781677e-10
135.0,-8.682293139683072e-10
136.0,-5.098001158902013e-09
137.0,-2.757811026067196e-08
138.0,-1.378515172030146e-07
139.0,-6.385153261644117e-07
140.0,-2.748041409667022e-06
141.0,-1.1017884440568178e-05
