Wavelength (nm),[θ]
80.0,-2.332956734671272e-162
81.0,-2.3890734106674143e-154
82.0,-1.0026107169842133e-146
83.0,-1.8088719340512625e-139
84.0,-1.4673418506628016e-132
85.0,-5.5815714621457925e-126
86.0,-1.0356257638862116e-119
87.0,-9.726032582796265e-114
88.0,-4.786738656311272e-108
89.0,-1.275516060885272e-102
90.0,-1.8975512750112481e-97
91.0,-1.622131392593714e-92
92.0,-8.187340244633094e-88
93.0,-2.5029144017416967e-83
94.0,-4.747037247935415e-79
95.0,-5.713248193867463e-75
96.0,-4.457123021574411e-71
97.0,-2.2993794314015575e-67
98.0,-7.99272536261912e-64
99.0,-1.905196352098747e-60
100.0,-3.165754051623968e-57
101.0,-3.72340118368019e-54
102.0,-3.143748742265252e-51
103.0,-1.9300712061213538e-48
104.0,-8.71501987716328e-46
105.0,-2.92231467902614e-43
106.0,-7.330273135086018e-41
107.0,-1.3805780513986073e-38
108.0,-1.947243778011621e-36
109.0,-2.024385512963432e-34
110.0,-1.4726604282772678e-32
111.0,-6.087836620098456e-31
112.0,8.56310877265044e-30
113.0,3.753681861751195e-27
114.0,3.503331995916653e-25
115.0,2.1441672479126912e-23
116.0,9.930876523809922e-22
117.0,3.6708550845876426e-20
118.0,1.113782521195147e-18
119.0,2.8245824165784273e-17
120.0,6.067112162895e-16
121.0,1.1154566150752614e-14
122.0,1.7709200122619527e-13
123.0,2.446563961936133e-12
124.0,2.961439399945142e-11
125.0,3.1604002762015356e-10
126.0,2.990621493464966e-09
127.0,2.522720252093605e-08
128.0,1.9064325246172667e-07
129.0,1.2967113845789367e-06
130.0,7.973398141962078e-06
131.0,4.450681973168132e-05
132.0,0.0002264140164337056
133.0,0.001053654981078204
134.0,0.004501504178397053
135.0,0.017715513477013233
136.0,0.06443052241978009
137.0,0.21722671921846237
138.0,0.6809284465196007
139.0,1.9901428758834143
140.0,5.437984364458782
141.0,13.928062791174588
142.0,33.52166178161005
143.0,75.99468066030097
144.0,162.65408487406506
145.0,329.4088883018697
146.0,632.5927883617073
147.0,1154.3290783588388
148.0,2005.4844845600119
149.0,3323.7829611209836
150.0,5264.800959815875
151.0,7984.595225449466
152.0,11614.599148363879
153.0,16231.769758241026
154.0,21829.071490957947
155.0,28292.46285869276
156.0,35390.06490422011
157.0,42777.09488530173
158.0,50016.9802699781
159.0,56615.769076057775
160.0,62064.521596340506
161.0,65883.47935809354
162.0,67662.56156004878
163.0,67094.65632530533
164.0,64000.41011857154
165.0,58344.91430318461
166.0,50247.29635816107
167.0,39983.69434478768
168.0,27982.85596769672
169.0,14812.374742058268
170.0,1153.0778257497589
171.0,-12240.224215158272
172.0,-24591.484432270405
